Location,Type,Recipe,Item 1,Item 2,Item 3,Item 4,Item 5,Cost,Effect,Done,Copy,Copy,Copy,Copy
Fence,Trinkets,Lion's Paw Trinket,Lion's Paw,,,,,$19.75,Increases stamina exp bonus by 10%,,,,,
Fence,Trinkets,Moose Antler Trinket,L Moose Antler,,,,,$19.00,Increases health exp bonus by 10%,,,,,
Fence,Trinkets,Panther's Eye Trinket,L Panther Eye,,,,,$25.00,"Decreases Dead Eye drain by 10% for 3 seconds (per Dead Eye, I assume)",,,,,
Fence,Trinkets,Pronghorn Horn Trinket,L Pronghorn Horn,,,,,$24.50,Stops animals on horseback from spoiling,,,,,
Fence,Trinkets,Ram Horn Trinket,L Ram Horn,,,,,?,"Picking Creeping thyme, Oregano, and Wild mint yields 2x more herbs",,,,,
Fence,Trinkets,Wolf Heart Trinket,L Wolf Heart,,,,,$16.00,Double resistance to negative effects of alcohol,,,,,
Fence,Trinkets,Tatanka Bison Horn Trinket,L Tatanka Bison Horn,,,,,$16.75,Decreases melee damage received by 10%,,,,,
Fence,Talismans,Alligator Tooth Talisman,Vintage Civil War Handcuffs,Gold Jointed Bracelet,L Alligator Tooth,,,$40.00,Decreases Dead Eye core drain by 10%,,,,,
Fence,Talismans,Bear Claw Talisman,Silver Chain Bracelet,Quartz Chunk,L Bear Claw,,,$34.75,Decreases health core drain by 10%,,,,,
Fence,Talismans,Boar Tusk Talisman,Gold Earring,Cobalt Petrified Wood,L Boar Tusk,,,$31.00,Decreases horse cores drain by 10%,,,,,
Fence,Talismans,Bison Horn Talisman,Abalone Shell Fragment,Silver Earring,L Bison Horn,,,$38.50,Decreases stamina core drain by 10%,,,,,
Fence,Talismans,Raven Claw Talisman,Old Brass Compass,,,,,$29.00,Slows degradation for all weapons by 20%,,,,,
Trapper Sets,The Bear Hunter,Legendary Bear Head Hat,L Bear Pelt,,,,,$40.00,,,,,,
Trapper Sets,The Bear Hunter,Legendary Bear Coat,L Bear Pelt,Bison Pelt,,,,$28.00,,,,,,
Trapper Sets,The Bear Hunter,Legendary Bear Roper,L Bear Pelt,Bull Hide,,,,$34.00,,,,,,
Trapper Sets,The Bear Hunter,Boar Riding Gloves,Boar Pelt,Rabbit Pelt,Rabbit Pelt,,,$15.00,,,,,,
Trapper Sets,The Trophy Buck,Raccoon Mountain Hat,Raccoon Pelt,Beaver Pelt,Hawk Feather,Hawk Feather,,$21.00,,,,,,
Trapper Sets,The Trophy Buck,Legendary Buck Vest,L Buck Pelt,Ram Hide,,,,$26.00,,,,,,
Trapper Sets,The Trophy Buck,Legendary Fox Moccasins,Elk Pelt,L Fox Pelt,,,,$40.00,,,,,,
Trapper Sets,The Trophy Buck,Legendary Buck and Fox Range Gloves,L Buck Pelt,L Fox Pelt,,,,$28.00,,,,,,
Trapper Sets,The Dreamcatcher,Legendary Beaver Flop Hat,L Beaver Pelt,L Boar Pelt,Cardinal Feather,,,$22.00,,,,,,
Trapper Sets,The Dreamcatcher,Legendary Bison Vest,L Tatanka Bison Pelt,,,,,$30.00,,,,,,
Trapper Sets,The Dreamcatcher,Legendary Bison Batwing Chaps,L Tatanka Bison Pelt,,,,,$32.00,,,,,,
Trapper Sets,The Dreamcatcher,Legendary Boar and Bison Fowlers,L Boar Pelt,L Tatanka Bison Pelt,,,,$37.00,,,,,,
Trapper Sets,The Dreamcatcher,Legendary Beaver Cavalry Gloves,L Beaver Cavalry Gloves,,,,,$18.00,,,,,,
Trapper Sets,The Beast of Prey,Legendary Cougar Flop Hat,L Cougar Pelt,Turkey Feather,Turkey Feather,,,$19.00,,,,,,
Trapper Sets,The Beast of Prey,Legendary Cougar and Wolf Vest,L Cougar Pelt,L Wolf Pelt,,,,$42.00,,,,,,
Trapper Sets,The Beast of Prey,Legendary Wolf Batwing Chaps,L Wolf Pelt,Goat Hide,,,,$34.00,,,,,,
Trapper Sets,The Beast of Prey,Bull Fowler Boots,Boar Pelt,Bull Hide,,,,$29.00,,,,,,
Trapper Sets,The Beast of Prey,Legendary Cougar Riding Gloves,L Cougar Pelt,Boar Pelt,,,,$20.00,,,,,,
Trapper Sets,The Huntsman,Legendary Coyote Mountain Hat,L Coyote Pelt,Eagle Feather,Eagle Feather,,,$23.00,,,,,,
Trapper Sets,The Huntsman,Legendary Pronghorn Coat,L Pronghorn Hide,Moose Pelt,,,,$35.00,,,,,,
Trapper Sets,The Huntsman,Legendary Coyote Half Chaps,L Coyote Pelt,Fox Pelt,Fox Pelt,,,$20.00,,,,,,
Trapper Sets,The Huntsman,Workman's Pride Boots,Cow Hide,Goat Hide,,,,$28.00,,,,,,
Trapper Sets,The Huntsman,Legendary Pronghorn Range Gloves,L Pronghorn Hide,Muskrat Pelt,,,,$17.00,,,,,,
Trapper Sets,The Death Roll,Legendary Alligator Gambler's Hat,L Alligator Skin,Snake Skin,Snake Skin,,,$22.00,,,,,,
Trapper Sets,The Death Roll,Legendary Panther Cloak,L Panther Pelt,,,,,$45.00,,,,,,
Trapper Sets,The Death Roll,Legendary Alligator Vest,L Alligator Skin,,,,,$35.00,,,,,,
Trapper Sets,The Death Roll,Legendary Alligator Fowlers,L Alligator Skin,,,,,$35.00,,,,,,
Trapper Sets,The Death Roll,Legendary Panther Range Gloves,L Panther Pelt,Gila Monster Skin,,,,$30.00,,,,,,
Trapper Sets,The Stalker,Legendary Ram Hat,L Ram Hide,,,,,$17.00,,,,,,
Trapper Sets,The Stalker,Legendary Moose Hunting Jacket,L Moose Pelt,Wolf Pelt,,,,$24.00,,,,,,
Trapper Sets,The Stalker,Legendary Ram Batwing Chaps,L Ram Hide,,,,,$33.00,,,,,,
Trapper Sets,The Stalker,Legendary Moose Moccasins,L Moose Pelt,Cow Hide,,,,$22.00,,,,,,
Trapper Sets,The Stalker,Legendary Ram Rifleman Gloves,L Ram Hide,Boar Pelt,,,,$12.00,,,,,,
Trapper Sets,The Ghost Bison,Legendary White Bison Hat,L White Bison Pelt,,,,,$45.00,,,,,,
Trapper Sets,The Ghost Bison,Legendary White Bison Coat,L White Bison Pelt,,,,,$29.00,,,,,,
Trapper Sets,The Ghost Bison,Legendary Elk Half Chaps,L Elk Pelt,Sheep Hide,,,,$16.00,,,,,,
Trapper Sets,The Ghost Bison,Legendary Elk Moccasins,L Elk Pelt,Goat Hide,,,,$30.00,,,,,,
Trapper Sets,The Ghost Bison,Legendary Elk Range Gloves,L Elk Pelt,,,,,$13.00,,,,,,
Trapper Sets,The Rattler,Ram Sombrero,Ram Hide,,,,,$10.00,,,,,,
Trapper Sets,The Rattler,Outdoorsmen Vest,Pronghorn Hide,,,,,$22.00,,,,,,
Trapper Sets,The Rattler,Javelina Half Chaps,Collared Peccary Pig Pelt,Snake Skin,,,,$18.00,,,,,,
Trapper Sets,The Rattler,Iguana Range Gloves,Collared Peccary Pig Pelt,Iguana Skin,,,,$27.00,,,,,,
Trapper Sets,The Wrangler,Goat Flop Hat,Pronghorn Hide,Goat Hide,,,,$12.00,,,,,,
Trapper Sets,The Wrangler,Trapper's Cloak,Sheep Hide,,,,,$32.00,,,,,,
Trapper Sets,The Wrangler,No-Man's Vest,Panther Hide,Goat Hide,,,,$27.00,,,,,,
Trapper Sets,The Wrangler,Two Toned Moccasins,Buck Pelt,,,,,$15.00,,,,,,
Trapper Sets,The Wrangler,Moose Range Gloves,Moose Pelt,,,,,$22.00,,,,,,
Trapper Sets,The Bronco Buster,Elk Flop Hat,Elk Pelt,,,,,$12.00,,,,,,
Trapper Sets,The Bronco Buster,Coyote Scout Jacket,Ox Hide,Coyote Pelt,,,,$20.00,,,,,,
Trapper Sets,The Bronco Buster,Huntsman Vest,Sheep Hide,Deer Pelt,,,,$25.00,,,,,,
Trapper Sets,The Bronco Buster,Boar Fringed Shotgun Chaps,Boar Pelt,Boar Pelt,,,,$25.00,,,,,,
Trapper Sets,The Bronco Buster,Pigskin Rifleman Gloves,Pig Hide,,,,,$8.00,,,,,,
Trapper Sets,The Marauder,Muskrat Cavalry Hat,Rabbit Pelt,Rabbit Pelt,Rabbit Pelt,Rabbit Pelt,Muskrat Pelt,$15.00,,,,,,
Trapper Sets,The Marauder,Principal Vest,Cow Hide,Deer Pelt,,,,$18.00,,,,,,
Trapper Sets,The Marauder,Bull Fringed Shotgun Chaps,Bull Hide,,,,,$18.00,,,,,,
Trapper Sets,The Marauder,Snakeskin Cavalry Gloves,Boar Pelt,Snake Skin,,,,$26.00,,,,,,
Trapper Sets,The Bounty Hunter,Plantation Slouch Hat,Bison Pelt,,,,,$15.00,,,,,,
Trapper Sets,The Bounty Hunter,Beaver Hunting Jacket,Cow Hide,Beaver Pelt,Beaver Pelt,,,$21.00,,,,,,
Trapper Sets,The Bounty Hunter,Sheepskin Vest,Sheep Hide,Sheep Hide,,,,$20.00,,,,,,
Trapper Sets,The Bounty Hunter,Pronghorn Half Chaps,Pronghorn Hide,,,,,$7.00,,,,,,
Trapper Sets,The Bounty Hunter,Buck Riding Gloves,Buck Pelt,,,,,$5.00,,,,,,
Trapper Sets,The Desperado,Beaver Drifter Hat,Beaver Pelt,Beaver Pelt,,,,$20.00,,,,,,
Trapper Sets,The Desperado,Wolf Coat,Ram Hide,Wolf Pelt,,,,$25.00,,,,,,
Trapper Sets,The Desperado,Billy Vest,Armadillo Skin,Goat Hide,,,,$32.00,,,,,,
Trapper Sets,The Desperado,Boar and Bull Fowler Boots,Ox Hide,Boar Pelt,,,,$31.00,,,,,,
Trapper Sets,The Desperado,Winter Cavalry Gloves,Rabbit Pelt,Muskrat Pelt,Muskrat Pelt,,,$25.00,,,,,,
Trapper Sets,The Night Wrangler,Coyote Gambler's Hat,Coyote Pelt,Coyote Pelt,,,,$16.00,,,,,,
Trapper Sets,The Night Wrangler,Cougar Cutaway Coat,Cougar Pelt,Cougar Pelt,Black Bear Pelt,,,$39.00,,,,,,
Trapper Sets,The Night Wrangler,Wilderness Vest,Wolf Pelt,Panther Pelt,,,,$28.00,,,,,,
Trapper Sets,The Night Wrangler,Moose Half Chaps,Moose Pelt,,,,,$10.00,,,,,,
Trapper Sets,The Night Wrangler,Badger Rifleman Gloves,Badger Pelt,,,,,$10.00,,,,,,
Trapper Sets,The Mountain Man,Grenadier Hat,Muskrat Pelt,Beaver Pelt,,,,$24.00,,,,,,
Trapper Sets,The Mountain Man,Ram Shotgun Coat,Ram Hide,Ram Hide,,,,$45.00,,,,,,
Trapper Sets,The Mountain Man,Country Vest,Buck Pelt,Beaver Pelt,,,,$25.00,,,,,,
Trapper Sets,The Mountain Man,Elk Riding Gloves,Elk Pelt,,,,,$12.00,,,,,,
