CONJUNTOS DE VESTIMENTAS,,,,,Equipamento Reforçado,,,,,Animais,Qnt,Status,Observação
,,Javali,ok,,,,,,,Pele de Raposa Lendaria,1,ok,
,Caçador,,,,,,,,,Pena de Abutre,1,ok,
,Chapéu Montanha Coiote Lendario,Coiote Lendario,ok,,,,,,,Pena de Aguia,3,2,
,,Pena de Aguia,ok,,,,,,,Pena de Ave Canora,2,ok,
,Casaco Antilocapra Lendario,Antilocapra Lendario,,,,,,,,Pena de Cardial,3,ok,
,,Alce,,,,,,,,Pena de Codorna,2,,
,Perneira COiote Lendario,Coiote Lendario,ok,,,,,,,Pena de Condor,1,,
,,Raposa,,,,,,,,Pena de Corrupião,5,ok,
,Botas Orgulho fo Trabalhador,Vaca,ok,,,,,,,Pena de Coruja,1,,
,,Cabra,ok,,,,,,,Pena de Corvo,2,ok,
,Luvas Campo Antilocapra Lendaria,Antilocapra Lendario,,,,,,,,Pena de Faisão,2,,
,,Rato Almiscarado,ok,,,,,,,Pena de Gaio Azul,3,ok,
,Funesto,,,,,,,,,Pena de Gaivota,1,ok,
,Chapéu Apostador Jacare Lendario,Jacare Lendario,,,,,,,,Pena de Galinha,4,ok,
,,Cobra,ok,,,,,,,Pena de Galo,4,,
,Capa Pantera Lendaria,Pantera Lendaria,,,,,,,,Pena de Ganso,2,ok,
,Colete Jacaré Lendario,Jacare Lendario,,,,,,,,Pena de Gavião ,2,,
,Fowler Jacare Lendario,Jacare Lendario,,,,,,,,Pena de Gralha,13,ok,
,\Luvas Campo Pantera Lendaria,Pantera Lendaria,,,,,,,,Pena de Mobelha,2,,
,,Monstro de Gila,,,,,,,,Pena de Pardal ,4,,
ok,Espreitador,,,,,,,,,Pena de Pato,3,ok,
,Chapéu Caneiro Lendario,Carneiro Lendario,ok,,,,,,,Pena de Peru,6,ok,
,Jaqueta Caça Alce Lendario,Alce Lendario,ok,,,,,,,Pena de Pica-pau,12,2,
,,Lobo,ok,,,,,,,Pena de Picoteiro Americano,2,ok,
,Asas Morcego Carneiro Lendario,Carneiro Lendario,ok,,,,,,,Pena de Pombo,2,,
,Mocassin Alce Lendario,Alce Lendario,ok,,,,,,,Pena de Tordo Americano,7,4,
,,Vaca,ok,,,,,,,Porco,2,ok,
,Luvas Fuzileiro Alce Lendario,Carneiro Lendario,ok,,,,,,,Raposa,2,ok,
,,Javali,ok,,,,,,,Rato,16,8,Aguardar missão de caça ratos em sant denis
ok,Bisão Fantasma,,,,,,,,,Rato Almiscarado,7,ok,
,Chapéu Branco Lendario,Bisão Lendario,ok,,,,,,,Suçuaruna,4,ok,
,Casaco Bisão Lendario,Bisão Lendario,ok,,,,,,,Suçuaruna Lendaria,1,,Aguardar missão suçuaruna lendaria
,Perneira Uapiti Lendario,Uapiti Lendario,ok,,,,,,,Takanta Lendario,1,,
,,Ovelha,ok,,,,,,,Tatu,2,,
,Mocassins Uapiti Lendario,Uapiti Lendario,ok,,,,,,,Texugo,2,ok,
,,Cabra,ok,,,,,,,Touro,3,ok,
,Luvas Campo Uapiti Lendario,Uapiti Lendario,ok,,,,,,,Uapiti,5,1,Pegar com Jhon
,Cascavel,,,,,,,,,Uapiti Lendario,1,ok,
,Sombreiro Carneiro,Carneiro,ok,,,,,,,Urso,2,ok,
,Colete Aventureiro,Antilocapra,ok,,,,,,,Urso lendario,1,ok,
,Perneira Porco do mato,Caititu,,,,,,,,Urso Negro ,3,ok,
,,Cobra,ok,,,,,,,Vaca,5,ok,
,Luvas Campo Iguana,Caititu,,,,,,,,Veado,4,ok,
,,Iguana,ok,,,,,,,,,,
,,Iguana,ok,,,,,,,,,,
ok,Domador,,,,,,,,,,,,
,Chapéu Mole Bode,Antilocapra,ok,,,,,,,,,,
,,Cabra,ok,,,,,,,,,,
,Capa Armadilheiro,Ovelha,ok,,,,,,,,,,
,Colete de Ninguem,Pantera,ok,,,,,,,,,,
,,Cabra,ok,,,,,,,,,,
,Mocassins Doins Tons,Cervo,ok,,,,,,,,,,
,Luvas Campo Alce,Alce,ok,,,,,,,,,,
ok,Amansador Bronco,,,,,,,,,,,,
,Chapéu Mole Uapiti,Uapiti,ok,,,,,,,,,,
,Jaqueta Batedor Coiote,Boi,ok,,,,,,,,,,
,,Coiote,ok,,,,,,,,,,
,Colete Caçador,Ovelha,ok,,,,,,,,,,
,,Veado,ok,,,,,,,,,,
,Escopeteiro Frana Javali,Javali,ok,,,,,,,,,,
,,javali,ok,,,,,,,,,,
,Luvas Fuzileiro Couro de Porco,Porco,ok,,,,,,,,,,
,Saqueador,,,,,,,,,,,,
,Chapéu Cavalaria Rato Almiscarado,Coelho,ok,,,,,,,,,,
,,Coelho,ok,,,,,,,,,,
,,Coelho,ok,,,,,,,,,,
,,Coelho,ok,,,,,,,,,,
,,Rato Almiscarado,ok,,,,,,,,,,
,Colete Diretor,Vaca,ok,,,,,,,,,,
,,Veado,ok,,,,,,,,,,
,Escopeteiro Franja Touro,Touro,ok,,,,,,,,,,
,Luvas Cavalaria Pele de Cobra,Javali,ok,,,,,,,,,,
,,Cobra,ok,,,,,,,,,,
,Caçador de Recompensas,,,,,,,,,,,,
,Chapéu Chambergo Lavoura,Bisão,ok,,,,,,,,,,
,Jaqueta Caça Castor,Vaca,ok,,,,,,,,,,
,,Castor,ok,,,,,,,,,,
,,Castor,ok,,,,,,,,,,
,Colete Pelego ,Ovelha,ok,,,,,,,,,,
,,Ovelha,ok,,,,,,,,,,
,Perneira Antilocapra,Antilocapra,ok,,,,,,,,,,
,Luvas Equitação Cervo,Cervo,ok,,,,,,,,,,
,Desperado,,,,,,,,,,,,
,Chapéu Errante Castor,Castor,ok,,,,,,,,,,
,,Castor,ok,,,,,,,,,,
,Casaco Lobo,Caneiro,ok,,,,,,,,,,
,,Lobo,ok,,,,,,,,,,
,Colete do Billy,Tatu,,,,,,,,,,,
,,Tatu,,,,,,,,,,,
,,Cabra,,,,,,,,,,,
,Fowler Javali e Touro,Boi,ok,,,,,,,,,,
,,Javali,ok,,,,,,,,,,
,Luvas Cavalaria Invernal,Coelho,ok,,,,,,,,,,
,,Rato Almiscarado,ok,,,,,,,,,,
,,Rato Almiscarado,ok,,,,,,,,,,
,Domador Noturno,,,,,,,,,,,,
,Chapéu Apostador Coiote,Coiote,ok,,,,,,,,,,
,,Coiote,ok,,,,,,,,,,
,Franque Suçuaruna,Suçuaruna,ok,,,,,,,,,,
,,Suçuaruna,ok,,,,,,,,,,
,,Urso Negro ,ok,,,,,,,,,,
,Colete Natureza,Lobo,ok,,,,,,,,,,
,,Pantera,ok,,,,,,,,,,
,Peneira Alce,Alce,,,,,,,,,,,
,Luvas Fuzileiro Castor,Texugo,ok,,,,,,,,,,
ok,Montanhes,,,,,,,,,,,,
,Chapéu Granadeiro,Rato Almiscarado,ok,,,,,,,,,,
,,Castor,ok,,,,,,,,,,
,Casaco Escopeteiro Carneiro ,Carneiro,ok,,,,,,,,,,
,,Carneiro,ok,,,,,,,,,,
,Colete Rural ,Cervo ,ok,,,,,,,,,,
,,Castor,ok,,,,,,,,,,
,Luvas Equitação Uapiti,Uapiti,ok,,,,,,,,,,
,,,,,,,,,,,,,
Roupas,,,,,,,,,,,,,
Chapéus,,,,,,,,,,,,,
Chapéu Montanha Texugo,,Texugo,ok,,,,,,,,,,
Chapéu Montanha Castor,,Castor,ok,,,,,,,,,,
Chapéu Montanha Raposa,,Raposa,ok,,,,,,,,,,
Chapéu Montanha Gamba,,Gamba,ok,,,,,,,,,,
Chapéu Granadeiro Urso,,Urso Negro,ok,,,,,,,,,,
,Boina Chata Esquilo,,,,,,,,,,,,
,6x,Esquilo,ok,,,,,,,,,,
,,Esquilo,ok,,,,,,,,,,
,,Esquilo,ok,,,,,,,,,,
,,Esquilo,ok,,,,,,,,,,
,,Esquilo,ok,,,,,,,,,,
,,Esquilo,ok,,,,,,,,,,
,Boina Chata Rato,,,,,,,,,,,,
,10x,Rato,ok,,,,,,,,,,
,,Rato,ok,,,,,,,,,,
,,Rato,,,,,,,,,,,
,,Rato,,,,,,,,,,,
,,Rato,,,,,,,,,,,
,,Rato,,,,,,,,,,,
,,Rato,,,,,,,,,,,
,,Rato,,,,,,,,,,,
,,Rato,,,,,,,,,,,
,,Rato,,,,,,,,,,,
,Chapéu Buldogger Cobra,Ovelha,ok,,,,,,,,,,
,,Cobra,ok,,,,,,,,,,
,Chapéu Big Valley Iguana,Vaca,ok,,,,,,,,,,
,,Iguana,ok,,,,,,,,,,
,Chapéu Apostador Monstro de Gila,Uapiti,,,,,,,,,,,
,,Monstro de Gila,,,,,,,,,,,
,Chapéu Mole  Antilocapra,,,,,,,,,,,,
,Antilocapra,,,,,,,,,,,,
,4x,Gamba Sarue,ok,,,,,,,,,,
,,Gamba Sarue,ok,,,,,,,,,,
,,Gamba Sarue,ok,,,,,,,,,,
,,Gamba Sarue,ok,,,,,,,,,,
,Chapéu Cavalaria Veado,,,,,,,,,,,,
,Veado,,ok,,,,,,,,,,
,10x,Pena de Gralha,ok,,,,,,,,,,
,,Pena de Gralha,ok,,,,,,,,,,
,,Pena de Gralha,ok,,,,,,,,,,
,,Pena de Gralha,ok,,,,,,,,,,
,,Pena de Gralha,ok,,,,,,,,,,
,,Pena de Gralha,ok,,,,,,,,,,
,,Pena de Gralha,ok,,,,,,,,,,
,,Pena de Gralha,ok,,,,,,,,,,
,,Pena de Gralha,ok,,,,,,,,,,
,,Pena de Gralha,ok,,,,,,,,,,
,Chapéu Apostador Bisão,Bisão,ok,,,,,,,,,,
,4x,Pena de Tordo Americano,,,,,,,,,,,
,,Pena de Tordo Americano,,,,,,,,,,,
,,Pena de Tordo Americano,,,,,,,,,,,
,,Pena de Tordo Americano,,,,,,,,,,,
,4x,Pena de Corrupião,,,,,,,,,,,
,,Pena de Corrupião,,,,,,,,,,,
,,Pena de Corrupião,,,,,,,,,,,
,,Pena de Corrupião,,,,,,,,,,,
,Chapéu Hardee Infantaria Rato,Cabra,ok,,,,,,,,,,
,6x,Rato,ok,,,,,,,,,,
,,Rato,ok,,,,,,,,,,
,,Rato,ok,,,,,,,,,,
,,Rato,ok,,,,,,,,,,
,,Rato,ok,,,,,,,,,,
,,Rato,ok,,,,,,,,,,
,Acessório Espreitador,Pena de Condor,,,,,,,,,,,
,2x,Pena de Mobelha,,,,,,,,,,,
,,Pena de Mobelha,,,,,,,,,,,
,3x,Pena de Gralha,ok,,,,,,,,,,
,,Pena de Gralha,ok,,,,,,,,,,
,,Pena de Gralha,ok,,,,,,,,,,
ok,Acessório Saqueador,Pena de Abutre,ok,,,,,,,,,,
,,Pena de Gaivota,ok,,,,,,,,,,
,Acessório Nativo,Pena de Faisão,,,,,,,,,,,
,4x,Pena de Pardal ,,,,,,,,,,,
,,Pena de Pardal ,,,,,,,,,,,
,,Pena de Pardal ,,,,,,,,,,,
,,Pena de Pardal ,,,,,,,,,,,
,3x,Pena de Tordo Americano,,,,,,,,,,,
,,Pena de Tordo Americano,,,,,,,,,,,
,,Pena de Tordo Americano,,,,,,,,,,,
ok,Acessório Peregrino,Pena de Peru,ok,,,,,,,,,,
,2x,Pena de Picoteiro Americano,ok,,,,,,,,,,
,,Pena de Picoteiro Americano,ok,,,,,,,,,,
,3x,Pena de Gaio Azul,ok,,,,,,,,,,
,,Pena de Gaio Azul,ok,,,,,,,,,,
,,Pena de Gaio Azul,ok,,,,,,,,,,
,Acessório Cassador,Javali,ok,,,,,,,,,,
,,Pena de Gavião ,,,,,,,,,,,
,2x,Pena de Codorna,,,,,,,,,,,
,,Pena de Codorna,,,,,,,,,,,
ok,Acessório Pioneiro,,,,,,,,,,,,
,3x,Pena de Peru,ok,,,,,,,,,,
,,Pena de Peru,ok,,,,,,,,,,
,,Pena de Peru,ok,,,,,,,,,,
,3x,Pena de Pato,ok,,,,,,,,,,
,,Pena de Pato,ok,,,,,,,,,,
,,Pena de Pato,ok,,,,,,,,,,
,3x,Pena de Galinha,ok,,,,,,,,,,
,,Pena de Galinha,ok,,,,,,,,,,
,,Pena de Galinha,ok,,,,,,,,,,
ok,Acessório Rococó,,,,,,,,,,,,
,2x,Pena de Corvo,ok,,,,,,,,,,
,,Pena de Corvo,ok,,,,,,,,,,
,2x,Pena de Cardial,ok,,,,,,,,,,
,,Pena de Cardial,ok,,,,,,,,,,
ok,Acessório Glorioso,Pena de Corrupião,ok,,,,,,,,,,
,4x,Pena de Pica-Pau,ok,,,,,,,,,,
,,Pena de Pica-Pau,ok,,,,,,,,,,
,,Pena de Pica-Pau,ok,,,,,,,,,,
,,Pena de Pica-Pau,ok,,,,,,,,,,
,Acessório Perseguidor,,,,,,,,,,,,
,2x,Pena de Aguia,,,,,,,,,,,
,,Pena de Aguia,,,,,,,,,,,
,2x,Pena de Pombo,,,,,,,,,,,
,,Pena de Pombo,,,,,,,,,,,
,Acessório Majestoso,,,,,,,,,,,,
,4x,Pena de Galo,,,,,,,,,,,
,,Pena de Galo,,,,,,,,,,,
,,Pena de Galo,,,,,,,,,,,
,,Pena de Galo,,,,,,,,,,,
,2x,Pena de Pica-pau,,,,,,,,,,,
,,Pena de Pica-pau,,,,,,,,,,,
,2x,Pena de Ave Canora,,,,,,,,,,,
,,Pena de Ave Canora,,,,,,,,,,,
ok,Acessório Propietario,Pena de Galinha,ok,,,,,,,,,,
,2x,Pena de Ganso,ok,,,,,,,,,,
,,Pena de Ganso,ok,,,,,,,,,,
,Acessório Judiocioso,Pena de Faisão,,,,,,,,,,,
,,Pena de Coruja,,,,,,,,,,,
,,,,,,,,,,,,,
Colete,,,,,,,,,,,,,
Colete Domador Aspero,,Porco,ok,,,,,,,,,,
Colete Hinterland,,Carneiro,ok,,,,,,,,,,
Colete Rustico,,Suçuaruna,ok,,,,,,,,,,
,,,,,,,,,,,,,
Chaparreiras,,,,,,,,,,,,,
Asas de Morcego Urso,,Urso,ok,,,,,,,,,,
Escopeteiro Franjado de Boi,,Boi,ok,,,,,,,,,,
Escopeteiro Franjado Uapiti,,Uapiti,ok,,,,,,,,,,
Asas de Morcego - Alce,,Alce,,,,,,,,,,,
Asas de Morcego - Veado,,Veado,ok,,,,,,,,,,
Escopeteiro Franjada Urso,,Urso Negro ,ok,,,,,,,,,,
,Asas de Morcego Ovelha,,,,,,,,,,,,
,2x,Ovelha,ok,,,,,,,,,,
,,Ovelha,ok,,,,,,,,,,
,Perneira Rato Almiscarado,,,,,,,,,,,,
,2x,Rato Almiscarado,ok,,,,,,,,,,
,,Rato Almiscarado,ok,,,,,,,,,,
Perneira Pele de Veado,,Veado,ok,,,,,,,,,,
,,,,,,,,,,,,,
Botas,,,,,,,,,,,,,
,Mocassis Porco do Mato,,,,,,,,,,,,
,2x,Caititu,,,,,,,,,,,
,,Caititu,,,,,,,,,,,
,Botas Armadilheiro Gamba,,,,,,,,,,,,
,2x,Gamba,ok,,,,,,,,,,
,,Gamba,ok,,,,,,,,,,
Mocassins,,Cervo,ok,,,,,,,,,,
,,,,,,,,,,,,,
Selas,,,,,,,,,,,,,
ok,Vaquero de Cascavel,,,,,,,,,,,,
,10x,Cobra,ok,,,,,,,,,,
,,Cobra,ok,,,,,,,,,,
,,Cobra,ok,,,,,,,,,,
,,Cobra,ok,,,,,,,,,,
,,Cobra,ok,,,,,,,,,,
,,Cobra,ok,,,,,,,,,,
,,Cobra,ok,,,,,,,,,,
,,Cobra,ok,,,,,,,,,,
,,Cobra,ok,,,,,,,,,,
McClelland de Suçuaruna,,Suçuaruna,ok,,,,,,,,,,
Mother Hubbard de Javali,,Javali,ok,,,,,,,,,,
Ranch Cutter de Jacaré,,Jacaré,,,,,,,,,,,
Dakota de Urso,,Urso,ok,,,,,,,,,,
Roping de Castor,,Castor,ok,,,,,,,,,,
Trilha de Pantera,,Pantera,ok,,,,,,,,,,
