Trapper Garment Sets,,,
,,,
The Bear Hunter,,,
Legendary Elk Range Gloves,1x Legendary Elk Pelt,,
,,,
The Rattler,,,
Ram Sombrero,1x Perfect Ram Hide,,
Outdoorsman Vest,1x Perfect Pronghorn Hide,,
Javelina Half Chaps,1x Perfect Collared Peccary Pig Pelt,1x Perfect Snake Skin,
Iguana Range Gloves,1x Perfect Collared Peccary Pig Pelt,2x Perfect Iguana Skin,
,,,
The Wrangler,,,
Goat Flop Hat,1x Perfect Pronghorn Hide,1x Goat Hide,
Trapper's Coat,1x Perfect Sheep Hide,,
No-Man's Vest,1x Perfect Panther Pelt,1x Perfect Goat Hide,
Two Toned Moccasins,1x Perfect Buck Pelt,,
Moose Range Gloves,1x Perfect Moose Pelt,,
,,,
The Bronco Buster,,,
Elk Flop Hat,1x Perfect Elk Pelt,,
Coyote Scout Jacket,1x Perfect Ox Hide,1x Perfect Coyote Pelt,
Huntsman Vest,1x Perfect Sheep Hide,1x Perfect Deer Pelt,
Boar Fringed Shotgun Chaps,2x Perfect Boar Pelt,,
Pigskin Rifleman Gloves,1x Perfect Pig Hide,,
,,,
The Marauder,,,
Muskrat Cavalry Hat,4x Perfect Rabbit Pelt,1x Perfect Muskrat Pelt,
Principal Vest,1x Perfect Cow Hide,1x Perfect Deer Pelt,
Bull Fringed Shotgun Chaps,1x Perfect Bull Hide,,
Snake Skin Cavalry Gloves,1x Perfect Boar Pelt,1x Perfect Snake Skin,
,,,
The Bounty Hunter,,,
Plantation Slouch Hat,1x Perfect Bison Pelt,,
Beaver Hunting Jacket,1x Perfect Cow Hide,2x Perfect Beaver Hide,
Sheepskin Vest,2x Perfect Sheep Hide,,
Pronghorn Half Chaps,1x Perfect Pronghorn Hide,,
Buck Riding Gloves,1x Perfect Buck Pelt,,
,,,
The Desperado,,,
Beaver Drifter Hat,2x Perfect Beaver Pelt,,
Wolf Coat,1x Perfect Ram Hide,1x Perfect Wolf Pelt,
Billy Vest,2x Perfect Armadillo Skin,1x Perfect Goat Hide,
Boar & Bull Fowler Boots,1x Perfect Ox Hide,1x Perfect Boar Pelt,
Winter Cavalry Gloves,1x Perfect Rabbit Pelt,2x Perfect Muskrat Pelt,
,,,
The Night Wrangler,,,
Coyote Gambler's Hat,2x Perfect Coyote Pelt,,
Cougar Cutaway Coat,2x Perfect Cougar Pelt,1x Perfect Black Bear Pelt,
Wilderness Vest,1x Perfect Wolf Pelt,1x Perfect Panther Pelt,
Moose Half Chaps,1x Perfect Moose Pelt,,
Badger Rifleman Gloves,1x Perfect Badger Pelt,,
,,,
The Mountain Man,,,
Grenadier Hat,1x Perfect Muskrat Pelt,1x Perfect Beaver Pelt,
Ram Shotgun Coat,2x Perfect Ram Hide,,
Country Vest,1x Perfect Buck Pelt,1x Perfect Beaver Pelt,
Elk Riding Gloves,1x Perfect Elk Pelt,,
